,Show_Id,Type,Title,Director,Cast,Country,Date_Added,Release_Year,Rating,Duration,Listed_In,Description
24,s25,Movie,Jeans,S. Shankar,"Prashanth, Aishwarya Rai Bachchan, Sri Lakshmi, Nassar",India,"September 21, 2021",1998,TV-14,166 min,"Comedies, International Movies, Romantic Movies","When The Father Of The Man She Loves Insists That His Twin Sons Marry Twin Sisters, A Woman Creates An Alter Ego That Might Be A Bit Too Convincing."
25,s26,TV Show,Love on the Spectrum,"Raúl Campos, Jan Suter",Brooke Satchwell,Australia,"September 21, 2021",2021,TV-14,2 Seasons,"Docuseries, International TV Shows, Reality TV","Finding Love Can Be Hard For Anyone. For Young Adults On The Autism Spectrum, Exploring The Unpredictable World Of Dating Is Even More Complicated."
27,s28,Movie,Grown Ups,Dennis Dugan,"Adam Sandler, Kevin James, Chris Rock, David Spade, Rob Schneider, Salma Hayek, Maria Bello, Maya Rudolph, Colin Quinn, Tim Meadows, Joyce Van Patten",United States,"September 20, 2021",2010,PG-13,103 min,Comedies,"Mourning The Loss Of Their Beloved Junior High Basketball Coach, Five Middle-Aged Pals Reunite At A Lake House And Rediscover The Joys Of Being A Kid."
28,s29,Movie,Dark Skies,Scott Stewart,"Keri Russell, Josh Hamilton, J.K. Simmons, Dakota Goyo, Kadan Rockett, L.J. Benet, Rich Hutchman, Myndy Crist, Annie Thurman, Jake Brennan",United States,"September 19, 2021",2013,PG-13,97 min,"Horror Movies, Sci-Fi & Fantasy","A Family’S Idyllic Suburban Life Shatters When An Alien Force Invades Their Home, And As They Struggle To Convince Others Of The Deadly Threat."
29,s30,Movie,Paranoia,Robert Luketic,"Liam Hemsworth, Gary Oldman, Amber Heard, Harrison Ford, Lucas Till, Embeth Davidtz, Julian McMahon, Josh Holloway, Richard Dreyfuss, Angela Sarafyan","United States, India, France","September 19, 2021",2013,PG-13,106 min,Thrillers,"Blackmailed By His Company'S Ceo, A Low-Level Employee Finds Himself Forced To Spy On The Boss'S Rival And Former Mentor."
32,s33,TV Show,Sex Education,"Raúl Campos, Jan Suter","Asa Butterfield, Gillian Anderson, Ncuti Gatwa, Emma Mackey, Connor Swindells, Kedar Williams-Stirling, Alistair Petrie",United Kingdom,"September 17, 2021",2020,TV-MA,3 Seasons,"British TV Shows, International TV Shows, TV Comedies","Insecure Otis Has All The Answers When It Comes To Sex Advice, Thanks To His Therapist Mom. So Rebel Maeve Proposes A School Sex-Therapy Clinic."
37,s38,TV Show,Angry Birds,"Raúl Campos, Jan Suter","Antti Pääkkönen, Heljä Heikkinen, Lynne Guaglione, Pasi Ruohonen, Rauno Ahonen",Finland,"September 16, 2021",2018,TV-Y7,1 Season,"Kids' TV, TV Comedies","Birds Red, Chuck And Their Feathered Friends Have Lots Of Adventures While Guarding Eggs In Their Nest That Pesky Pigs Keep Trying To Steal."
38,s39,Movie,Birth of the Dragon,George Nolfi,"Billy Magnussen, Ron Yuan, Qu Jingjing, Terry Chen, Vanness Wu, Jin Xing, Philip Ng, Xia Yu, Yu Xia","China, Canada, United States","September 16, 2021",2017,PG-13,96 min,"Action & Adventure, Dramas","A Young Bruce Lee Angers Kung Fu Traditionalists By Teaching Outsiders, Leading To A Showdown With A Shaolin Master In This Film Based On Real Events."
39,s40,TV Show,Chhota Bheem,"Raúl Campos, Jan Suter","Vatsal Dubey, Julie Tejwani, Rupa Bhimani, Jigna Bhardwaj, Rajesh Kava, Mousam, Swapnil",India,"September 16, 2021",2021,TV-Y7,3 Seasons,Kids' TV,"A Brave, Energetic Little Boy With Superhuman Powers Leads His Friends On Exciting Adventures To Guard Their Fellow Dholakpur Villagers From Evil."
40,s41,TV Show,He-Man and the Masters of the Universe,"Raúl Campos, Jan Suter","Yuri Lowenthal, Kimberly Brooks, Antony Del Rio, Trevor Devall, Ben Diskin, Grey Griffin, David Kaye, Tom Kenny, Judy Alice Lee, Roger Craig Smith, Fred Tatasciore",United States,"September 16, 2021",2021,TV-Y7,1 Season,"Kids' TV, TV Sci-Fi & Fantasy",Mighty Teen Adam And His Heroic Squad Of Misfits Discover The Legendary Power Of Grayskull — And Their Destiny To Defend Eternia From Sinister Skeletor.
41,s42,Movie,Jaws,Steven Spielberg,"Roy Scheider, Robert Shaw, Richard Dreyfuss, Lorraine Gary, Murray Hamilton, Carl Gottlieb, Jeffrey Kramer, Susan Backlinie, Jonathan Filley, Ted Grossman",United States,"September 16, 2021",1975,PG,124 min,"Action & Adventure, Classic Movies, Dramas","When An Insatiable Great White Shark Terrorizes Amity Island, A Police Chief, An Oceanographer And A Grizzled Shark Hunter Seek To Destroy The Beast."
42,s43,Movie,Jaws 2,Jeannot Szwarc,"Roy Scheider, Lorraine Gary, Murray Hamilton, Joseph Mascolo, Jeffrey Kramer, Collin Wilcox Paxton, Ann Dusenberry, Mark Gruner, Barry Coe, Susan French",United States,"September 16, 2021",1978,PG,116 min,"Dramas, Horror Movies, Thrillers","Four Years After The Last Deadly Shark Attacks, Police Chief Martin Brody Fights To Protect Amity Island From Another Killer Great White."
43,s44,Movie,Jaws 3,Joe Alves,"Dennis Quaid, Bess Armstrong, Simon MacCorkindale, Louis Gossett Jr., John Putch, Lea Thompson, P.H. Moriarty, Dan Blasko, Liz Morris, Lisa Maurer",United States,"September 16, 2021",1983,PG,98 min,"Action & Adventure, Horror Movies, Thrillers","After The Staff Of A Marine Theme Park Try To Capture A Young Great White Shark, They Discover Its Mother Has Invaded The Enclosure And Is Out For Blood."
44,s45,Movie,Jaws: The Revenge,Joseph Sargent,"Lorraine Gary, Lance Guest, Mario Van Peebles, Karen Young, Michael Caine, Judith Barsi, Mitchell Anderson, Lynn Whitfield",United States,"September 16, 2021",1987,PG-13,91 min,"Action & Adventure, Horror Movies, Thrillers","After Another Deadly Shark Attack, Ellen Brody Has Had Enough Of Amity Island And Moves To The Caribbean – But A Great White Shark Follows Her There."
46,s47,Movie,Safe House,Daniel Espinosa,"Denzel Washington, Ryan Reynolds, Vera Farmiga, Brendan Gleeson, Sam Shepard, Rubén Blades, Nora Arnezeder, Robert Patrick, Liam Cunningham, Joel Kinnaman","South Africa, United States, Japan","September 16, 2021",2012,R,115 min,Action & Adventure,Young Cia Operative Matt Weston Must Get A Dangerous Criminal Out Of An Agency Safe House That'S Come Under Attack And Get Him To A Securer Location.
48,s49,Movie,Training Day,Antoine Fuqua,"Denzel Washington, Ethan Hawke, Scott Glenn, Tom Berenger, Harris Yulin, Raymond J. Barry, Cliff Curtis, Dr. Dre, Snoop Dogg, Macy Gray, Eva Mendes",United States,"September 16, 2021",2001,R,122 min,"Dramas, Thrillers",A Rookie Cop With One Day To Prove Himself To A Veteran Lapd Narcotics Officer Receives A Crash Course In His Mentor'S Questionable Brand Of Justice.
49,s50,TV Show,Castle and Castle,"Raúl Campos, Jan Suter","Richard Mofe-Damijo, Dakore Akande, Bimbo Manuel, Blossom Chukwujekwu, Deyemi Okanlawon, Etim Effiong, Denola Grey, Duke Akintola, Eku Edewor, Ade Laoye, Anee Icha, Kevin Ushi, Jude Chukwuka, Amanda Afolabi",Nigeria,"September 15, 2021",2021,TV-MA,2 Seasons,"International TV Shows, TV Dramas","A Pair Of High-Powered, Successful Lawyers Find Themselves Defending Opposite Interests Of The Justice System, Causing A Strain On Their Happy Marriage."
50,s51,TV Show,Dharmakshetra,"Raúl Campos, Jan Suter","Kashmira Irani, Chandan Anand, Dinesh Mehta, Ankit Arora, Pushkar Goggiaa, Anjali Rana, Aarya DharmChand Kumar, Amit Behl, Maleeka Ghai",India,"September 15, 2021",2014,TV-PG,1 Season,"International TV Shows, TV Dramas, TV Sci-Fi & Fantasy","After The Ancient Great War, The God Chitragupta Oversees A Trial To Determine Who Were The Battle'S True Heroes And Villains."
51,s52,Movie,InuYasha the Movie 2: The Castle Beyond the Looking Glass,Toshiya Shinohara,"Kappei Yamaguchi, Satsuki Yukino, Mieko Harada, Koji Tsujitani, Houko Kuwashima, Kumiko Watanabe, Noriko Hidaka, Kenichi Ogata, Toshiyuki Morikawa, Izumi Ogami",Japan,"September 15, 2021",2002,TV-14,99 min,"Action & Adventure, Anime Features, International Movies","With Their Biggest Foe Seemingly Defeated, Inuyasha And His Friends Return To Everyday Life. But The Peace Is Soon Shattered By An Emerging New Enemy."
52,s53,Movie,InuYasha the Movie 3: Swords of an Honorable Ruler,Toshiya Shinohara,"Kappei Yamaguchi, Satsuki Yukino, Koji Tsujitani, Houko Kuwashima, Kumiko Watanabe, Ken Narita, Akio Otsuka, Kikuko Inoue",Japan,"September 15, 2021",2003,TV-14,99 min,"Action & Adventure, Anime Features, International Movies",The Great Dog Demon Beaqueathed One Of The Three Swords Of The Fang To Each Of His Two Sons. Now The Evil Power Of The Third Sword Has Been Awakened.
53,s54,Movie,InuYasha the Movie 4: Fire on the Mystic Island,Toshiya Shinohara,"Kappei Yamaguchi, Satsuki Yukino, Koji Tsujitani, Houko Kuwashima, Kumiko Watanabe, Noriko Hidaka, Ken Narita, Cho, Mamiko Noto, Nobutoshi Canna",Japan,"September 15, 2021",2004,TV-PG,88 min,"Action & Adventure, Anime Features, International Movies","Ai, A Young Half-Demon Who Has Escaped From Horai Island To Try To Help Her People, Returns With Potential Saviors Inuyasha, Sesshomaru And Kikyo."
54,s55,Movie,InuYasha the Movie: Affections Touching Across Time,Toshiya Shinohara,"Kappei Yamaguchi, Satsuki Yukino, Koji Tsujitani, Houko Kuwashima, Kumiko Watanabe, Kenichi Ogata, Noriko Hidaka, Hisako Kyoda, Ken Narita, Tomokazu Seki",Japan,"September 15, 2021",2001,TV-PG,100 min,"Action & Adventure, Anime Features, International Movies","A Powerful Demon Has Been Sealed Away For 200 Years. But When The Demon'S Son Is Awakened, The Fate Of The World Is In Jeopardy."
55,s56,TV Show,Nailed It,"Raúl Campos, Jan Suter","Nicole Byer, Jacques Torres",United States,"September 15, 2021",2021,TV-PG,6 Seasons,Reality TV,"Home Bakers With A Terrible Track Record Take A Crack At Re-Creating Edible Masterpieces For A $10,000 Prize. It'S Part Reality Contest, Part Hot Mess."
56,s57,Movie,Naruto Shippuden the Movie: Blood Prison,Masahiko Murata,"Junko Takeuchi, Chie Nakamura, Rikiya Koyama, Kazuhiko Inoue, Masaki Terasoma, Mie Sonozaki, Yuichi Nakamura, Kengo Kawanishi, Kosei Hirota, Masako Katsuki",Japan,"September 15, 2021",2011,TV-14,102 min,"Action & Adventure, Anime Features, International Movies","Mistakenly Accused Of An Attack On The Fourth Raikage, Ninja Naruto Is Imprisoned In The Impenetrable Hozuki Castle And His Powers Are Sealed."
57,s58,Movie,Naruto Shippûden the Movie: Bonds,Hajime Kamegaki,"Junko Takeuchi, Chie Nakamura, Noriaki Sugiyama, Unsho Ishizuka, Motoko Kumai, Kazuhiko Inoue, Rikiya Koyama, Showtaro Morikubo, Nana Mizuki, Satoshi Hino, Shinji Kawada",Japan,"September 15, 2021",2008,TV-PG,93 min,"Action & Adventure, Anime Features, International Movies","When Strange Ninjas Ambush The Village Of Konohagakure, It'S Up To Adolescent Ninja Naruto And His Long-Missing Pal, Sasuke, To Save The Planet."
58,s59,Movie,Naruto Shippûden the Movie: The Will of Fire,Masahiko Murata,"Junko Takeuchi, Chie Nakamura, Kazuhiko Inoue, Satoshi Hino, Showtaro Morikubo, Kentaro Ito, Ryoka Yuzuki, Kohsuke Toriumi, Nana Mizuki, Shinji Kawada, Yoichi Masukawa, Koichi Tochika, Yukari Tamura",Japan,"September 15, 2021",2009,TV-PG,96 min,"Action & Adventure, Anime Features, International Movies","When Four Out Of Five Ninja Villages Are Destroyed, The Leader Of The One Spared Tries To Find The True Culprit And Protect His Land."
59,s60,Movie,Naruto Shippuden: The Movie,Hajime Kamegaki,"Junko Takeuchi, Chie Nakamura, Yoichi Masukawa, Koichi Tochika, Ayumi Fujimura, Keisuke Oda, Daisuke Kishio, Fumiko Orikasa, Hidetoshi Nakamura, Tetsuya Kakihara, Kisho Taniyama, Miyuki Sawashiro, Katsuyuki Konishi, Masako Katsuki, Keiko Nemoto, Masashi Ebara, Kazuhiko Inoue, Showtaro Morikubo, Romi Park, Daisuke Ono, Seizo Kato",Japan,"September 15, 2021",2007,TV-PG,95 min,"Action & Adventure, Anime Features, International Movies","The Adventures Of Adolescent Ninja Naruto Uzumaki Continue As He'S Tasked With Protecting A Priestess From A Demon – But To Do So, He Must Die."
60,s61,Movie,Naruto Shippuden: The Movie: The Lost Tower,Masahiko Murata,"Junko Takeuchi, Chie Nakamura, Satoshi Hino, Rikiya Koyama, Nobuaki Fukuda, Kenji Hamada, Keiko Nemoto, Saori Hayami, Yumi Toma, Yuko Kobayashi, Fujiko Takimoto, Mutsumi Tamura, Mayuki Makiguchi, Toshiyuki Morikawa",Japan,"September 15, 2021",2010,TV-14,85 min,"Action & Adventure, Anime Features, International Movies","When Naruto Is Sent To Recover A Missing Nin, The Rogue Manages To Send Him 20 Years Into The Past, Where He Unites With His Father To Battle Evil."
61,s62,Movie,Naruto the Movie 2: Legend of the Stone of Gelel,Hirotsugu Kawasaki,"Junko Takeuchi, Gamon Kaai, Chie Nakamura, Showtaro Morikubo, Akira Ishida, Yasuyuki Kase, Urara Takano, Sachiko Kojima, Houko Kuwashima, Takako Honda",Japan,"September 15, 2021",2005,TV-PG,97 min,"Action & Adventure, Anime Features, International Movies","While On A Mission To Return A Missing Pet, Naruto And Two Fellow Ninjas Are Ambushed By Brutal Knights Led By The Enigmatic Temujin."
62,s63,Movie,Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,Toshiyuki Tsuru,"Junko Takeuchi, Chie Nakamura, Yoichi Masukawa, Kazuhiko Inoue, Akio Otsuka, Kyousuke Ikeda, Marika Hayashi, Umeji Sasaki, Masashi Sugawara, Hisao Egawa",Japan,"September 15, 2021",2006,TV-PG,95 min,"Action & Adventure, Anime Features, International Movies","Exuberant Ninja Naruto Teams Up With His Pals Sakura And Kakashi To Escort Prince Michiru And His Son, Hikaru, To The Crescent Moon Kingdom."
63,s64,Movie,Naruto the Movie: Ninja Clash in the Land of Snow,Tensai Okamura,"Junko Takeuchi, Noriaki Sugiyama, Chie Nakamura, Kazuhiko Inoue, Yuhko Kaida, Tsutomu Isobe, Hirotaka Suzuoki, Jun Karasawa, Harii Kaneko, Ikuo Nishikawa",Japan,"September 15, 2021",2004,TV-PG,83 min,"Action & Adventure, Anime Features, International Movies","Naruto, Sasuke And Sakura Learn They'Ll Be Protecting An Actress From Being Hurt While Making Her Next Film, But It Turns Out She'S A Princess."
65,s66,TV Show,Numberblocks,"Raúl Campos, Jan Suter","Beth Chalmers, David Holt, Marcel McCalla, Teresa Gallagher",United Kingdom,"September 15, 2021",2021,TV-Y,6 Seasons,Kids' TV,"In A Place Called Numberland, Math Adds Up To Tons Of Fun When A Group Of Cheerful Blocks Work, Play And Sing Together."
66,s67,TV Show,Raja Rasoi Aur Anya Kahaniyan,"Raúl Campos, Jan Suter",Unknown,India,"September 15, 2021",2014,TV-G,1 Season,"Docuseries, International TV Shows","Explore The History And Flavors Of Regional Indian Cuisine, From Traditional Kashmiri Feasts To The Vegetarian Dishes Of Gujarat."
67,s68,TV Show,Saved by the Bell,"Raúl Campos, Jan Suter","Mark-Paul Gosselaar, Tiffani Thiessen, Mario Lopez, Lark Voorhies, Elizabeth Berkley, Dustin Diamond, Dennis Haskins",United States,"September 15, 2021",1994,TV-PG,9 Seasons,"Kids' TV, TV Comedies","From Middle School To College, Best Friends Zack, Kelly, Slater, Jessie, Screech And Lisa Take On The Highs And Lows Of Life Together In This Hit Series."
69,s70,TV Show,Stories by Rabindranath Tagore,"Raúl Campos, Jan Suter",Unknown,India,"September 15, 2021",2015,TV-PG,1 Season,"International TV Shows, TV Dramas",The Writings Of Nobel Prize Winner Rabindranath Tagore Come To Life In This Collection Of Tales Set In Early-20Th-Century Bengal.
72,s73,TV Show,Jack Whitehall: Travels with My Father,"Raúl Campos, Jan Suter","Jack Whitehall, Michael Whitehall",United Kingdom,"September 14, 2021",2021,TV-MA,5 Seasons,"British TV Shows, Docuseries, International TV Shows","Jovial Comic Jack Whitehall Invites His Stuffy Father, Michael, To Travel With Him Through Southeast Asia In An Attempt To Strengthen Their Bond."
73,s74,Movie,King of Boys,Kemi Adetiba,"Sola Sobowale, Adesua Etomi, Remilekun ""Reminisce"" Safaru, Tobechukwu ""iLLbliss"" Ejiofor, Toni Tones, Paul Sambo, Jide Kosoko, Sharon Ooja",Nigeria,"September 14, 2021",2018,TV-MA,182 min,"Dramas, International Movies","When A Powerful Businesswoman’S Political Ambitions Are Threatened By Her Underworld Connections, The Ensuing Power Struggle Could Cost Her Everything."
76,s77,TV Show,Yowamushi Pedal,"Raúl Campos, Jan Suter","Daiki Yamashita, Kohsuke Toriumi, Jun Fukushima, Hiroki Yasumoto, Showtaro Morikubo, Kentaro Ito, Daisuke Kishio, Yoshitsugu Matsuoka, Junichi Suwabe, Ayaka Suwa, Megumi Han, Tomoaki Maeno, Tsubasa Yonaga, Tetsuya Kakihara, Satoshi Hino, Hiroyuki Yoshino, Atsushi Abe, Koji Yusa, Kouki Miyata, Hiro Shimono, Wataru Hatano, Yuichi Nakamura, Kenji Nojima, Mamoru Miyano, Daisuke Ono, Yuma Uchida, Jun Fukuyama",Japan,"September 14, 2021",2013,TV-14,1 Season,"Anime Series, International TV Shows","A Timid, Anime-Loving Teen Gets Drawn Into A School Cycling Club, Where His New Friends Help Him Face Tough Challenges To Develop His Racing Talent."
81,s82,Movie,Kate,Cedric Nicolas-Troyan,"Mary Elizabeth Winstead, Jun Kunimura, Woody Harrelson, Tadanobu Asano, Miyavi, Michiel Huisman, Miku Martineau",United States,"September 10, 2021",2021,R,106 min,Action & Adventure,"Slipped A Fatal Poison On Her Final Job, A Ruthless Assassin Working In Tokyo Has Less Than 24 Hours To Find Out Who Ordered The Hit And Exact Revenge."
82,s83,TV Show,Lucifer,"Raúl Campos, Jan Suter","Tom Ellis, Lauren German, Kevin Alejandro, D.B. Woodside, Lesley-Ann Brandt, Scarlett Estevez, Rachael Harris, Aimee Garcia, Tricia Helfer, Tom Welling, Jeremiah W. Birkett, Pej Vahdat, Michael Gladis",United States,"September 10, 2021",2021,TV-14,6 Seasons,"Crime TV Shows, TV Comedies, TV Dramas","Bored With Being The Lord Of Hell, The Devil Relocates To Los Angeles, Where He Opens A Nightclub And Forms A Connection With A Homicide Detective."
84,s85,Movie,Omo Ghetto: the Saga,"JJC Skillz, Funke Akindele","Funke Akindele, Ayo Makun, Chioma Chukwuka Akpotha, Yemi Eberechi Alade, Blossom Chukwujekwu, Deyemi Okanlawon, Alexx Ekubo, Zubby Michael, Tina Mba, Femi Jacobs",Nigeria,"September 10, 2021",2020,TV-MA,147 min,"Action & Adventure, Comedies, Dramas","Twins Are Reunited As A Good-Hearted Female Gangster And Her Uptight Rich Sister Take On Family, Crime, Cops And All Of The Trouble That Follows Them."
90,s91,Movie,Paradise Hills,Alice Waddington,"Emma Roberts, Danielle Macdonald, Awkwafina, Eiza González, Milla Jovovich, Jeremy Irvine, Arnaud Valois, Daniel Horvath","Spain, United States","September 9, 2021",2019,TV-MA,95 min,"Sci-Fi & Fantasy, Thrillers","Uma Wakes Up In A Lush Tropical Facility Designed To Turn Willful Girls Into Perfect Ladies. That’S Bad Enough, But Its Real Purpose Is Even Worse."
91,s92,Movie,The Women and the Murderer,"Mona Achache, Patricia Tourancheau",Unknown,France,"September 9, 2021",2021,TV-14,92 min,"Documentaries, International Movies",This Documentary Traces The Capture Of Serial Killer Guy Georges Through The Tireless Work Of Two Women: A Police Chief And A Victim'S Mother.
92,s93,TV Show,Into the Night,"Raúl Campos, Jan Suter","Pauline Etienne, Laurent Capelluto, Stefano Cassetti, Mehmet Kurtuluş, Babetida Sadjo, Jan Bijvoet, Ksawery Szlenkier, Vincent Londez, Regina Bikkinina, Alba Gaïa Kraghede Bellugi, Nabil Mallat",Belgium,"September 8, 2021",2021,TV-MA,2 Seasons,"International TV Shows, TV Dramas, TV Mysteries",Passengers And Crew Aboard A Hijacked Overnight Flight Scramble To Outrace The Sun As A Mysterious Cosmic Event Wreaks Havoc On The World Below.
94,s95,Movie,Show Dogs,Raja Gosnell,"Will Arnett, Ludacris, Natasha Lyonne, Stanley Tucci, Jordin Sparks, Gabriel Iglesias, Shaquille O'Neal, Omar Chaparro, Alan Cumming, Andy Beckwith, Delia Sheppard, Kerry Shale","United Kingdom, United States","September 8, 2021",2018,PG,90 min,"Children & Family Movies, Comedies",A Rough And Tough Police Dog Must Go Undercover With An Fbi Agent As A Prim And Proper Pet At A Dog Show To Save A Baby Panda From An Illegal Sale.
95,s96,TV Show,The Circle,"Raúl Campos, Jan Suter",Michelle Buteau,"United States, United Kingdom","September 8, 2021",2021,TV-MA,3 Seasons,Reality TV,"Status And Strategy Collide In This Social Experiment And Competition Show Where Online Players Flirt, Befriend And Catfish Their Way Toward $100,000."
96,s97,Movie,If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,Stephen Kijak,"Ronnie Van Zandt, Gary Rossington, Allen Collins, Leon Wilkeson, Bob Burns, Billy Powell, Ed King, Artimus Pyle, Steve Gaines, Johnny Van Zant",United States,"September 7, 2021",2018,TV-MA,97 min,"Documentaries, Music & Musicals","Using Interviews And Archival Footage, This Documentary Charts The Story Of The Legendary Southern Rockers With A Focus On Front Man Ronnie Van Zant."
97,s98,TV Show,Kid Cosmic,"Raúl Campos, Jan Suter","Jack Fisher, Tom Kenny, Amanda C. Miller, Kim Yarbrough, Keith Ferguson, Grey Griffin, Lily Rose Silver",United States,"September 7, 2021",2021,TV-Y7,2 Seasons,"Kids' TV, TV Comedies, TV Sci-Fi & Fantasy",A Boy'S Superhero Dreams Come True When He Finds Five Powerful Cosmic Stones. But Saving The Day Is Harder Than He Imagined — And He Can'T Do It Alone.
98,s99,TV Show,Octonauts: Above & Beyond,"Raúl Campos, Jan Suter","Antonio Aakeel, Chipo Chung, Simon Foster, Teresa Gallagher, Simon Greenall, Kate Harbour, Paul Panting, Rob Rackstraw, William Vanderpuye, Helen Walsh, Keith Wickham, Andres Williams, Jo Wyatt",United Kingdom,"September 7, 2021",2021,TV-Y,1 Season,"British TV Shows, Kids' TV","The Octonauts Expand Their Exploration Beyond The Sea — And Onto Land! With New Rides And New Friends, They'Ll Protect Any Habitats And Animals At Risk."
99,s100,TV Show,On the Verge,"Raúl Campos, Jan Suter","Julie Delpy, Elisabeth Shue, Sarah Jones, Alexia Landeau, Mathieu Demy, Troy Garity, Timm Sharp, Giovanni Ribisi","France, United States","September 7, 2021",2021,TV-MA,1 Season,"TV Comedies, TV Dramas","Four Women — A Chef, A Single Mom, An Heiress And A Job Seeker — Dig Into Love And Work, With A Generous Side Of Midlife Crises, In Pre-Pandemic La."
101,s102,Movie,Untold: Breaking Point,"Chapman Way, Maclain Way",Unknown,United States,"September 7, 2021",2021,TV-MA,80 min,"Documentaries, Sports Movies","Under Pressure To Continue A Winning Tradition In American Tennis, Mardy Fish Faced Mental Health Challenges That Changed His Life On And Off The Court."
